1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
382,419,446,468,482,504,515,522,534,541,554,560,570,578,584,589,591,593,599,599,603
392,438,462,480,503,520,533,540,552,557,566,575,581,585,587,589,593,596,600,603,603
394,437,467,492,511,529,541,550,554,562,571,574,579,585,589,593,597,599,601,601,603
399,427,453,477,495,510,519,530,537,545,551,562,570,579,584,592,594,598,600,603,603
403,428,457,477,502,512,530,538,545,552,559,565,574,580,582,586,591,594,599,602,603
385,408,444,464,485,503,515,527,536,544,554,567,571,579,584,586,591,594,597,602,603
372,416,451,466,489,502,511,526,533,538,554,563,572,575,580,584,592,597,600,602,603
370,406,436,462,480,495,507,518,535,550,558,567,574,580,585,589,593,595,600,601,603
383,418,446,468,486,493,512,524,534,542,549,556,564,572,577,583,590,593,598,600,603
367,392,422,450,473,489,505,520,535,544,552,562,567,576,582,587,590,594,596,598,603
384,425,452,484,508,523,535,542,550,560,567,570,580,583,586,591,595,600,600,602,603
393,419,446,472,492,501,514,524,538,548,557,564,570,576,583,586,590,595,596,599,603
383,412,441,468,494,507,517,523,533,543,554,560,569,572,578,587,594,597,598,601,603
400,439,467,487,506,518,530,544,552,558,565,567,572,584,588,592,597,598,600,602,603
383,417,444,481,500,515,531,538,548,554,558,570,576,583,585,589,593,596,597,602,603
370,399,435,463,480,494,510,526,538,546,554,563,570,577,579,581,590,595,597,599,603
379,406,435,469,477,490,501,511,519,534,545,555,569,574,583,587,593,597,600,600,603
379,409,439,473,494,512,529,533,541,551,556,568,573,580,584,588,593,597,598,601,603
396,426,458,484,502,513,525,532,539,548,559,565,571,579,583,588,592,594,598,602,603
376,408,432,464,481,495,509,517,525,540,555,564,571,577,580,583,590,592,596,601,603
391,417,436,455,473,492,510,520,535,545,552,558,566,570,575,585,588,591,597,600,603
362,389,430,458,482,492,510,522,530,542,552,559,566,576,581,585,586,590,593,598,603
383,418,454,484,506,527,538,544,558,566,571,576,580,585,587,592,596,599,599,601,603
368,404,436,455,474,492,509,521,536,549,557,562,569,580,584,588,592,597,597,601,603
373,405,434,471,495,513,524,535,550,555,562,567,573,578,582,588,593,597,598,601,603
381,416,445,474,498,506,521,533,539,548,556,563,569,579,584,587,589,593,598,600,603
398,433,457,473,494,509,524,531,540,554,559,563,567,572,578,583,589,593,597,600,603
391,425,440,466,486,507,519,527,542,558,565,576,583,584,590,593,595,596,598,602,603
390,420,450,469,486,503,512,523,532,546,554,562,567,576,579,582,588,592,594,600,603
415,439,470,491,508,519,529,535,540,549,557,567,574,580,587,593,593,596,598,601,603
385,420,448,473,491,503,518,530,535,546,557,562,567,574,578,586,591,594,597,602,603
364,406,440,460,477,493,504,516,524,534,542,551,560,572,578,583,585,592,600,602,603
377,406,436,467,483,497,515,524,536,542,547,556,567,578,581,586,588,590,596,600,603
384,417,446,477,495,513,526,539,546,553,560,564,569,576,582,588,591,595,598,601,603
378,415,437,463,483,497,509,521,529,542,557,566,575,579,585,592,594,595,598,603,603
382,419,449,472,496,509,523,532,536,549,557,561,570,578,585,590,591,597,600,602,603
361,407,442,470,491,501,517,527,539,546,552,564,568,578,585,589,592,599,601,602,603
399,429,459,475,486,502,513,523,535,544,549,555,564,573,579,584,591,594,598,602,603
384,411,437,460,489,502,517,526,533,544,555,561,568,571,576,581,584,589,592,597,603
393,424,451,476,501,514,520,536,540,544,554,564,569,579,582,586,591,593,598,600,603
383,416,449,476,494,511,521,531,538,542,553,558,566,575,581,588,591,596,598,602,603
379,420,442,459,487,494,517,523,535,548,555,564,568,574,577,583,592,594,599,602,603
395,435,466,487,507,522,533,541,545,551,560,564,568,573,581,589,593,599,601,602,603
385,423,447,482,497,508,524,530,535,543,555,568,576,584,587,590,596,597,600,603,603
385,415,450,470,486,497,512,522,538,546,552,562,570,578,584,589,592,597,601,602,603
391,415,445,472,493,503,516,527,539,545,555,562,565,574,583,586,594,598,600,602,603
403,435,454,482,504,515,526,537,545,553,558,565,573,580,587,592,594,594,596,603,603
383,416,449,472,496,517,531,537,548,555,561,566,576,585,587,588,591,596,598,599,603
398,428,461,487,500,509,520,534,540,554,561,565,570,577,577,585,589,593,596,602,603
393,422,451,474,498,516,530,536,544,554,559,566,575,583,587,592,596,598,599,601,603
388,415,443,475,494,506,517,529,544,557,562,567,579,585,590,595,597,599,601,603,603
391,420,451,479,496,511,526,537,543,557,564,568,577,583,586,592,596,600,601,602,603
383,419,444,473,492,503,514,529,537,549,563,571,575,579,583,587,590,594,598,601,603
386,416,443,471,489,506,520,524,534,548,557,564,569,579,583,588,592,597,598,601,603
406,438,481,504,522,536,542,552,560,571,577,584,586,590,591,599,600,601,602,603,603
375,412,433,464,482,495,511,527,537,545,553,561,568,576,581,590,593,596,600,602,603
393,433,467,487,510,521,534,540,548,555,559,565,571,578,580,585,587,590,596,601,603
385,422,458,480,503,518,530,538,548,554,565,570,574,579,584,590,592,595,598,601,603
384,418,446,468,484,498,521,526,541,546,553,560,567,575,576,581,586,592,596,601,603
406,442,464,485,503,517,532,540,548,553,559,567,576,582,587,591,597,600,602,602,603
382,409,441,483,501,511,526,540,548,552,560,567,573,579,586,589,594,596,599,601,603
376,414,452,478,497,514,526,536,543,552,559,568,576,587,590,594,595,597,600,601,603
381,420,441,469,492,511,518,529,536,548,557,569,576,584,590,593,598,599,602,602,603
391,422,451,472,493,504,516,525,538,543,555,564,572,576,583,586,590,590,593,598,603
377,409,441,469,491,514,523,530,536,547,559,564,571,575,577,582,590,593,599,599,603
389,432,464,490,504,516,526,539,547,557,566,573,577,580,582,585,588,595,598,598,603
391,420,447,476,499,509,520,529,535,543,549,557,565,569,575,582,588,595,598,601,603
399,434,451,488,501,516,528,532,538,553,560,567,575,579,587,591,595,599,603,603,603
385,409,440,465,490,501,512,521,532,538,553,561,568,574,578,585,588,593,596,601,603
384,429,448,472,485,498,510,521,531,550,558,566,569,574,579,586,591,598,601,601,603
389,417,449,475,495,508,524,529,537,547,560,565,573,582,588,592,597,599,599,601,603
377,410,442,470,483,499,514,527,534,548,557,567,573,584,591,594,599,602,603,603,603
388,425,455,479,496,508,520,529,536,546,553,558,567,574,580,585,591,597,599,600,603
387,426,455,484,500,512,527,538,548,556,565,570,574,580,581,587,592,597,599,601,603
393,432,450,474,490,500,514,521,531,544,553,558,564,571,575,583,587,591,595,600,603
383,419,453,478,498,510,522,532,542,551,559,563,569,580,584,587,592,597,599,602,603
376,417,444,469,481,498,516,527,535,542,548,561,568,577,582,586,590,595,598,601,603
380,421,454,478,502,512,529,537,544,557,562,570,580,584,586,591,597,601,602,603,603
382,413,445,465,481,497,511,518,529,540,550,557,562,574,579,585,589,593,597,600,603
391,415,442,470,491,502,519,527,532,538,547,556,562,572,576,581,591,594,597,600,603
402,423,451,479,492,505,517,525,534,547,558,565,571,576,583,593,597,598,601,603,603
376,409,440,459,475,490,505,517,526,534,546,554,559,571,579,587,590,592,601,602,603
385,426,447,477,497,507,519,527,535,541,548,559,564,573,579,584,591,596,600,602,603
380,402,428,457,478,496,510,523,535,548,552,558,567,571,577,584,587,590,597,601,603
383,417,445,473,491,509,520,531,538,548,559,567,576,582,586,592,592,596,600,602,603
385,422,449,463,481,497,513,522,532,538,546,556,562,571,577,582,590,596,599,601,603
371,413,442,466,487,502,517,531,545,551,558,564,569,572,580,584,587,590,595,600,603
375,417,451,482,501,521,531,541,546,553,566,574,577,585,587,591,595,597,602,603,603
381,417,446,476,495,507,522,532,542,548,560,568,574,578,585,588,590,593,598,600,603
382,414,439,458,476,497,515,521,531,546,551,561,570,576,581,586,592,594,599,600,603
