1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
372,396,419,443,469,480,495,502,515,527,533,544,548,555,568,575,581,587,595,600,603
389,421,451,468,489,497,515,520,530,540,547,553,560,576,583,588,593,597,600,601,603
395,428,450,471,490,503,511,523,533,545,554,566,574,577,583,585,590,597,599,600,603
392,421,447,468,482,497,506,512,524,536,542,549,557,562,572,580,584,590,596,600,603
380,418,438,462,479,495,509,521,530,541,549,555,561,575,581,589,593,597,602,602,603
364,392,412,439,466,476,490,502,507,515,529,539,552,561,570,576,582,587,598,602,603
360,395,424,451,474,486,498,513,529,542,551,557,567,573,580,584,588,597,600,602,603
361,390,418,442,458,477,494,509,519,528,540,550,552,562,571,576,584,588,593,599,603
358,403,432,444,462,471,483,501,513,524,530,542,547,560,572,583,589,594,598,601,603
350,383,410,436,458,473,486,502,515,526,534,545,552,555,566,575,584,588,593,599,603
371,400,431,454,477,498,512,522,532,539,542,554,565,570,574,584,592,596,597,598,603
381,418,448,469,488,499,510,520,532,541,550,559,567,573,579,583,589,593,596,600,603
376,405,431,447,470,483,494,504,517,528,539,548,557,564,570,579,581,587,598,600,603
395,429,451,469,486,503,512,518,529,537,549,561,567,570,575,583,590,595,600,603,603
378,405,425,455,479,495,508,520,533,541,548,557,559,567,573,579,587,590,593,597,603
353,398,423,442,464,479,489,511,525,537,544,553,559,569,578,584,592,594,600,601,603
378,403,422,448,469,484,503,513,524,534,540,549,553,563,568,575,585,592,592,597,603
371,410,438,459,476,490,505,519,526,535,541,549,557,564,572,578,586,592,599,601,603
388,413,435,452,469,485,503,511,523,536,545,551,555,560,568,580,584,591,596,600,603
357,393,416,438,458,472,492,508,521,530,538,543,552,563,573,578,580,587,596,601,603
385,406,426,445,460,478,492,509,522,530,539,548,557,564,575,581,587,597,599,601,603
350,386,407,425,451,467,481,490,496,510,523,534,540,556,562,569,577,582,589,597,603
359,394,413,443,468,488,501,515,524,533,538,551,558,565,571,580,586,592,595,602,603
347,387,418,448,468,477,489,505,521,534,545,556,564,570,580,584,588,593,595,601,603
358,401,420,447,462,482,492,507,517,521,529,538,547,559,568,572,585,590,597,599,603
379,410,435,454,474,488,501,513,523,529,536,546,555,562,571,579,586,591,595,600,603
391,426,450,468,483,498,511,519,531,542,549,556,560,568,575,581,587,591,597,599,603
388,417,440,466,477,491,507,516,521,534,538,548,559,570,576,583,588,591,591,597,603
382,417,437,459,478,493,504,514,530,534,547,557,560,570,574,579,586,592,598,600,603
393,419,445,459,476,490,498,507,520,529,537,541,548,557,567,577,584,589,597,598,603
368,398,438,458,477,494,506,516,525,536,541,545,551,562,568,574,579,586,592,599,603
351,387,412,430,462,479,487,504,517,524,532,545,554,566,575,584,590,594,599,601,603
367,407,437,454,466,484,494,506,518,529,537,548,552,562,574,580,587,591,597,599,603
371,412,435,451,468,488,501,512,524,538,545,552,561,570,577,583,588,592,598,601,603
367,398,423,449,466,480,501,511,516,528,539,549,555,564,572,578,586,591,596,602,603
377,413,441,453,476,488,505,514,529,530,541,549,554,562,571,580,587,590,595,601,603
343,378,406,434,462,472,481,490,510,523,532,539,550,559,563,577,586,591,596,600,603
379,413,441,456,471,492,500,511,523,528,542,547,555,564,576,583,586,593,596,602,603
361,402,425,447,459,477,491,502,512,525,536,543,551,562,572,577,583,591,594,598,603
379,417,441,460,484,494,503,513,529,536,547,553,559,569,576,585,588,594,598,599,603
363,393,424,454,473,485,502,512,523,525,537,547,558,566,573,579,585,589,594,599,603
362,409,442,464,485,494,503,517,527,534,541,549,559,571,581,586,591,594,596,600,603
378,424,445,465,477,491,505,516,526,532,539,548,561,571,573,578,586,590,595,602,603
378,419,438,457,469,485,501,512,517,529,541,552,556,566,573,581,591,597,601,603,603
370,412,434,448,467,481,493,507,519,532,547,553,559,569,575,583,593,596,599,601,603
359,405,426,447,464,479,494,505,518,530,540,549,552,563,569,576,580,587,595,601,603
391,433,459,476,497,508,519,535,541,550,556,562,566,571,574,581,592,597,599,601,603
382,413,445,470,488,496,504,515,530,540,547,557,562,566,571,576,582,586,596,599,603
386,419,440,465,479,498,509,521,526,539,547,560,565,574,579,586,591,593,597,599,603
366,405,430,458,474,485,503,515,526,529,543,552,559,566,572,578,584,588,595,600,603
373,410,441,465,483,501,510,519,530,540,543,556,564,569,572,579,583,588,593,600,603
378,410,430,454,470,491,504,513,524,533,537,545,555,561,569,580,585,593,595,599,603
361,399,428,455,474,487,503,517,528,536,547,550,557,561,568,582,586,595,598,602,603
376,412,435,457,468,488,499,516,530,539,546,556,558,570,574,583,589,596,599,602,603
417,450,469,486,504,517,526,532,540,543,553,557,563,569,572,578,583,590,595,601,603
363,397,418,444,461,477,493,504,512,523,536,539,548,559,570,577,586,592,594,600,603
384,421,444,468,485,495,502,515,525,537,546,550,557,562,570,580,584,586,591,597,603
376,411,437,457,479,498,507,517,532,542,547,557,565,570,577,584,588,591,594,600,603
376,413,432,457,479,488,495,511,521,532,538,546,553,566,573,581,586,594,598,602,603
398,433,461,475,488,502,517,529,539,547,552,558,563,569,572,581,589,593,598,603,603
357,393,418,445,474,494,503,515,524,529,541,552,559,566,571,580,584,590,595,600,603
365,408,433,453,473,486,496,513,529,537,544,555,565,566,570,574,585,591,598,599,603
363,395,424,448,467,481,498,511,521,528,533,547,557,566,574,582,585,592,596,599,603
386,408,449,469,486,497,508,518,527,534,545,553,562,570,579,587,588,592,596,599,603
369,408,430,444,465,480,493,501,513,523,531,538,551,555,570,579,588,592,594,599,603
371,411,438,456,477,492,502,514,520,527,532,547,552,562,569,580,584,587,592,598,603
382,417,442,459,477,494,513,527,536,542,550,559,564,567,578,587,591,595,597,601,603
378,413,438,457,480,498,511,520,525,541,551,562,571,578,585,587,591,595,596,601,603
376,415,430,452,469,484,497,511,522,530,538,549,560,570,575,580,587,592,598,600,603
367,412,433,455,474,483,495,510,520,531,539,548,552,560,562,572,579,588,596,600,603
377,409,434,452,466,480,490,502,513,522,531,540,550,558,566,574,581,588,594,601,603
377,411,434,462,473,498,511,524,532,538,548,557,561,565,571,580,588,592,596,600,603
377,411,429,448,480,494,500,514,527,532,542,548,554,566,572,576,587,590,594,600,603
370,417,445,473,490,503,516,526,533,543,552,555,558,570,574,582,588,593,594,599,603
385,412,429,449,465,472,484,495,501,510,521,533,543,552,559,567,576,581,592,597,603
367,399,420,444,463,476,494,507,515,524,532,546,555,568,573,580,587,593,600,603,603
353,389,419,443,472,490,501,511,518,525,538,546,555,565,574,577,585,590,593,600,603
377,413,430,457,480,496,509,520,531,541,544,549,558,564,568,575,580,588,598,601,603
368,400,430,446,468,482,495,505,517,526,534,546,561,567,576,583,589,594,595,600,603
379,412,429,452,474,487,496,509,520,532,545,554,559,562,571,580,588,594,597,601,603
379,410,436,446,465,481,492,503,521,533,540,547,553,558,564,575,586,589,594,600,603
370,398,422,438,445,455,472,489,502,511,517,530,541,555,568,577,581,586,590,595,603
380,415,437,454,479,489,500,507,523,536,543,554,560,569,571,585,589,596,599,602,603
355,399,422,441,463,479,492,500,507,518,526,542,549,556,564,573,580,590,595,601,603
374,414,434,456,475,491,502,517,529,540,545,561,566,573,581,587,589,593,596,599,603
367,400,426,445,458,479,496,508,517,528,536,549,556,564,569,577,579,586,596,600,603
357,402,431,453,471,486,498,506,516,525,531,538,549,557,567,578,580,588,596,601,603
369,411,431,455,474,495,511,518,528,541,547,558,568,574,578,583,590,595,599,601,603
377,413,441,457,470,482,490,506,524,531,540,545,555,559,570,575,581,592,598,601,603
