1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
343,394,421,459,475,492,504,519,531,546,557,565,570,579,582,586,590,595,599,602,603
355,394,416,440,462,479,497,512,529,542,554,565,570,575,580,588,597,597,599,602,603
333,379,413,438,458,477,497,517,533,541,553,562,569,577,584,588,591,597,599,601,603
334,376,412,439,457,477,487,504,515,529,542,553,561,566,570,581,589,596,599,603,603
342,388,413,435,449,470,488,505,518,526,537,548,559,566,572,581,589,594,597,599,603
344,410,441,462,472,487,498,512,524,530,541,548,556,564,576,584,588,596,600,601,603
346,390,422,450,466,481,493,505,517,525,541,551,561,571,581,586,589,593,595,600,603
334,363,389,409,440,467,487,499,511,525,535,544,559,563,571,577,589,592,595,599,603
340,388,416,445,469,488,510,519,528,534,547,551,561,568,575,578,580,590,598,601,603
324,379,407,444,455,471,487,513,523,538,552,562,571,576,583,590,595,596,598,600,603
342,378,404,428,450,467,486,505,519,533,541,555,565,573,578,585,595,599,599,603,603
319,368,411,444,458,474,494,512,531,539,550,556,563,569,577,581,592,596,598,600,603
345,393,424,450,461,481,498,516,534,544,561,571,577,582,586,590,598,599,600,602,603
339,383,412,433,455,473,494,513,523,536,540,549,560,567,575,580,591,595,599,601,603
341,378,410,427,452,474,492,507,522,540,547,558,566,576,583,587,593,598,600,602,603
324,359,398,428,451,464,483,504,519,527,536,548,552,566,573,578,586,594,599,602,603
330,378,409,439,461,480,497,509,520,530,545,553,562,567,578,585,591,600,602,602,603
328,379,407,441,459,483,504,524,537,543,557,563,573,575,578,581,587,591,598,603,603
345,398,423,453,470,481,491,511,526,538,547,553,561,571,578,582,586,593,598,600,603
343,382,419,449,463,482,500,515,528,541,553,561,572,580,585,588,595,600,602,602,603
344,385,407,438,467,489,502,513,524,530,545,552,558,564,573,579,587,593,594,599,603
362,393,421,442,460,481,491,508,520,534,550,558,568,573,580,582,591,594,600,602,603
354,393,422,447,466,479,500,515,529,538,546,551,561,567,576,584,587,593,599,601,603
325,373,404,432,460,471,491,507,518,530,536,550,556,565,572,576,586,596,600,603,603
344,375,401,434,464,475,501,515,526,533,542,551,564,570,574,580,589,595,597,601,603
