1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
281,295,307,322,340,361,380,390,406,423,436,452,468,490,507,525,543,553,562,572,603
293,311,324,335,350,374,387,401,415,427,443,456,472,485,505,526,536,550,562,584,603
297,309,322,340,360,375,391,403,412,429,438,465,485,501,518,528,541,553,565,579,603
301,318,339,354,366,382,400,419,437,447,457,470,483,499,513,528,542,551,567,578,603
314,327,336,351,365,381,390,407,424,434,450,465,480,498,513,530,536,545,557,578,603
297,311,324,342,358,371,388,400,411,425,438,450,466,485,501,520,533,545,561,578,603
287,298,310,326,346,363,383,395,412,433,445,458,481,498,524,539,551,560,566,579,603
296,311,327,333,355,369,387,399,412,420,441,458,481,500,513,527,539,554,572,585,603
278,292,309,322,339,363,372,385,403,416,432,450,468,497,511,531,536,553,560,577,603
294,306,317,332,350,367,384,408,419,437,455,469,495,518,535,551,559,569,577,588,603
292,310,321,331,344,362,377,391,405,422,438,456,475,493,508,521,536,549,562,577,603
289,302,322,336,352,368,379,389,403,420,435,451,467,491,512,531,543,550,570,581,603
300,315,332,349,374,387,396,414,435,452,463,481,498,518,530,543,551,562,574,583,603
302,313,327,342,368,375,394,411,426,446,460,469,485,502,521,539,549,561,569,579,603
287,296,311,322,343,366,380,394,404,414,434,450,475,489,510,529,541,555,563,575,603
293,316,324,335,353,371,400,411,433,446,468,491,502,524,529,540,548,556,570,585,603
298,312,326,340,357,377,388,402,417,434,450,467,483,498,515,531,547,560,575,585,603
283,298,306,323,346,363,382,395,408,424,437,452,467,484,501,515,539,548,563,579,603
293,307,319,337,356,376,386,402,411,424,441,462,486,502,526,541,550,560,572,582,603
294,307,325,341,358,375,392,401,420,437,453,470,491,501,525,538,545,553,565,585,603
286,300,314,329,348,370,385,402,417,430,438,457,474,491,502,516,529,543,564,577,603
287,304,313,329,344,361,377,386,408,427,440,456,473,496,513,525,536,550,562,577,603
300,313,326,335,352,368,388,403,423,441,460,475,497,509,528,543,552,561,568,584,603
271,283,307,326,343,361,380,391,409,427,450,464,480,499,509,522,530,551,567,580,603
303,323,334,346,362,373,396,406,420,426,437,448,475,498,520,538,546,552,570,580,603
